id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,3,3,40.71000700,19.94577900,0,13224,13050,0,38712,171
2,Dibër,2,2,41.59991200,20.26165100,0,4127,4068,0,36431,57
3,Durrës,2,0,41.33054100,19.46326500,2,19749,19390,0,57774,357
4,Elbasan,8,8,41.11456500,20.08415200,0,16394,16064,0,46106,322
5,Fier,24,24,40.72902000,19.56091000,0,25787,25416,0,45219,347
6,Gjirokastër,8,7,40.07869700,20.13633000,1,10860,10755,0,36960,97
7,Korçe,14,13,40.61812600,20.77752800,1,11237,11068,0,44341,155
8,Kukës,3,3,42.07545200,20.42317600,0,5002,4963,0,38871,36
9,Lezhë,5,5,41.78537300,19.64099400,0,11091,10964,0,41630,122
10,Shkodër,12,12,42.06776800,19.51425000,0,16707,16520,0,45870,175
11,Tiranë,138,134,41.33278100,19.81696400,4,121233,119659,0,1341789,1436
12,Vlorë,10,10,40.46778700,19.48373700,0,20277,20045,0,45239,222
