id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,981,954,40.71000700,19.94577900,26,4156,3114,1,8889,61
2,Dibër,318,300,41.59991200,20.26165100,18,2103,1748,0,7504,37
3,Durrës,1713,1657,41.33054100,19.46326500,53,7802,5933,3,21450,156
4,Elbasan,1201,1125,41.11456500,20.08415200,70,5998,4652,6,12410,145
5,Fier,2894,2850,40.72902000,19.56091000,41,8480,5447,3,13177,139
6,Gjirokastër,829,811,40.07869700,20.13633000,18,2866,2002,0,9229,35
7,Korçe,993,974,40.61812600,20.77752800,17,4210,3138,2,10340,79
8,Kukës,406,385,42.07545200,20.42317600,19,2060,1623,2,9539,31
9,Lezhë,1046,1015,41.78537300,19.64099400,27,4503,3386,4,11339,71
10,Shkodër,1474,1456,42.06776800,19.51425000,14,4945,3394,4,14644,77
11,Tiranë,20674,20485,41.33278100,19.81696400,180,41098,19738,9,286038,686
12,Vlorë,1746,1705,40.46778700,19.48373700,37,6430,4619,4,11860,65
