id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,7,6,40.71000700,19.94577900,0,6697,6591,1,18641,99
2,Dibër,3,3,41.59991200,20.26165100,0,2513,2462,0,16848,48
3,Durrës,10,10,41.33054100,19.46326500,0,10250,10006,0,34744,234
4,Elbasan,5,5,41.11456500,20.08415200,0,8724,8467,0,26096,252
5,Fier,1,1,40.72902000,19.56091000,0,11548,11305,0,25149,242
6,Gjirokastër,0,0,40.07869700,20.13633000,0,4882,4818,0,18013,64
7,Korçe,1,1,40.61812600,20.77752800,0,6764,6645,0,22603,118
8,Kukës,2,2,42.07545200,20.42317600,0,2872,2836,0,18746,34
9,Lezhë,7,7,41.78537300,19.64099400,0,6185,6087,0,22160,91
10,Shkodër,33,33,42.06776800,19.51425000,0,7487,7307,0,25417,147
11,Tiranë,30,29,41.33278100,19.81696400,1,55457,54430,0,530982,997
12,Vlorë,1,1,40.46778700,19.48373700,0,9117,8987,0,22941,129
