id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,13228,13055,0,38952,171
2,Dibër,2,2,41.59991200,20.26165100,0,4127,4068,0,36646,57
3,Durrës,6,4,41.33054100,19.46326500,2,19756,19393,0,58014,357
4,Elbasan,7,7,41.11456500,20.08415200,0,16400,16071,0,46346,322
5,Fier,16,16,40.72902000,19.56091000,0,25836,25473,0,45459,347
6,Gjirokastër,15,15,40.07869700,20.13633000,0,10874,10762,0,37200,97
7,Korçe,19,19,40.61812600,20.77752800,0,11249,11075,0,44581,155
8,Kukës,1,1,42.07545200,20.42317600,0,5003,4966,0,39086,36
9,Lezhë,4,4,41.78537300,19.64099400,0,11095,10969,0,41870,122
10,Shkodër,13,13,42.06776800,19.51425000,0,16717,16529,0,46110,175
11,Tiranë,185,183,41.33278100,19.81696400,2,121400,119779,0,1345361,1436
12,Vlorë,12,12,40.46778700,19.48373700,0,20300,20066,0,45479,222
