id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,491,483,40.71000700,19.94577900,8,8013,7416,0,23902,106
2,Dibër,197,197,41.59991200,20.26165100,0,3057,2810,0,22241,50
3,Durrës,1169,1144,41.33054100,19.46326500,22,13062,11642,3,42994,251
4,Elbasan,625,599,41.11456500,20.08415200,24,10596,9699,2,31256,272
5,Fier,1151,1135,40.72902000,19.56091000,14,14840,13429,2,30359,260
6,Gjirokastër,225,217,40.07869700,20.13633000,8,5744,5451,0,22640,68
7,Korçe,310,298,40.61812600,20.77752800,10,7764,7333,2,29471,121
8,Kukës,291,281,42.07545200,20.42317600,10,3636,3311,0,24156,34
9,Lezhë,509,494,41.78537300,19.64099400,14,7990,7380,1,26960,101
10,Shkodër,1118,1103,42.06776800,19.51425000,15,11794,10517,0,31057,159
11,Tiranë,5385,5322,41.33278100,19.81696400,57,68167,61731,6,864598,1051
12,Vlorë,686,673,40.46778700,19.48373700,11,12027,11195,2,27401,146
