id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,68,64,40.71000700,19.94577900,1,139,70,3,1590,1
2,Dibër,44,40,41.59991200,20.26165100,4,90,43,0,725,3
3,Durrës,504,484,41.33054100,19.46326500,14,1170,633,6,5720,33
4,Elbasan,127,118,41.11456500,20.08415200,9,254,117,0,1905,10
5,Fier,195,191,40.72902000,19.56091000,4,423,217,0,3073,11
6,Gjirokastër,44,41,40.07869700,20.13633000,2,96,49,1,1607,3
7,Korçe,161,152,40.61812600,20.77752800,9,302,131,0,1470,10
8,Kukës,140,135,42.07545200,20.42317600,5,309,163,0,1659,6
9,Lezhë,164,157,41.78537300,19.64099400,7,377,205,0,2314,8
10,Shkodër,304,303,42.06776800,19.51425000,1,689,350,0,3853,35
11,Tiranë,1954,1885,41.33278100,19.81696400,59,4141,2068,10,24288,119
12,Vlorë,141,135,40.46778700,19.48373700,6,285,138,0,2669,6
