id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,210,205,40.71000700,19.94577900,5,8452,8129,0,24902,113
2,Dibër,108,105,41.59991200,20.26165100,2,3191,3031,1,23241,52
3,Durrës,782,762,41.33054100,19.46326500,17,13753,12696,3,43994,275
4,Elbasan,281,263,41.11456500,20.08415200,13,11136,10575,5,32256,280
5,Fier,666,648,40.72902000,19.56091000,14,15991,15052,4,31359,273
6,Gjirokastër,207,203,40.07869700,20.13633000,3,6047,5768,1,23670,72
7,Korçe,152,145,40.61812600,20.77752800,6,8062,7784,1,30471,126
8,Kukës,154,145,42.07545200,20.42317600,7,3879,3690,2,25156,35
9,Lezhë,226,213,41.78537300,19.64099400,11,8329,7992,2,27960,111
10,Shkodër,517,506,42.06776800,19.51425000,11,12321,11643,0,32057,161
11,Tiranë,3002,2967,41.33278100,19.81696400,30,72763,68629,5,926585,1132
12,Vlorë,257,247,40.46778700,19.48373700,9,12743,12319,1,28401,167
