id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,68,60,40.71000700,19.94577900,6,201,131,2,1978,2
2,Dibër,34,28,41.59991200,20.26165100,6,113,72,0,1057,7
3,Durrës,454,426,41.33054100,19.46326500,24,1378,880,4,6704,44
4,Elbasan,175,163,41.11456500,20.08415200,12,421,227,0,2601,19
5,Fier,122,111,40.72902000,19.56091000,10,519,381,1,3600,16
6,Gjirokastër,36,33,40.07869700,20.13633000,3,130,90,0,2145,4
7,Korçe,143,127,40.61812600,20.77752800,15,419,264,1,2062,12
8,Kukës,130,122,42.07545200,20.42317600,8,376,238,0,2091,8
9,Lezhë,216,207,41.78537300,19.64099400,9,503,275,0,2912,12
10,Shkodër,313,300,42.06776800,19.51425000,11,791,442,2,4543,36
11,Tiranë,2074,1997,41.33278100,19.81696400,66,5221,2994,11,31333,153
12,Vlorë,136,129,40.46778700,19.48373700,7,334,192,0,3303,6
