id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,914,890,40.71000700,19.94577900,21,1988,1035,3,5389,39
2,Dibër,383,379,41.59991200,20.26165100,4,810,409,0,4247,18
3,Durrës,1387,1370,41.33054100,19.46326500,16,4068,2565,1,13865,116
4,Elbasan,974,948,41.11456500,20.08415200,24,2950,1878,2,7141,98
5,Fier,1739,1696,40.72902000,19.56091000,37,4095,2268,6,7412,88
6,Gjirokastër,537,522,40.07869700,20.13633000,15,1716,1157,0,5307,22
7,Korçe,1097,1074,40.61812600,20.77752800,22,2984,1823,1,5860,64
8,Kukës,452,441,42.07545200,20.42317600,10,1200,725,1,5799,23
9,Lezhë,930,922,41.78537300,19.64099400,7,2289,1319,1,6914,40
10,Shkodër,1241,1222,42.06776800,19.51425000,18,2915,1609,1,9492,65
11,Tiranë,12421,12233,41.33278100,19.81696400,179,23172,10321,9,146434,430
12,Vlorë,1141,1116,40.46778700,19.48373700,21,2450,1272,4,6893,37
