id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,121,118,40.71000700,19.94577900,3,360,236,0,2774,3
2,Dibër,80,72,41.59991200,20.26165100,7,214,124,1,1797,10
3,Durrës,565,532,41.33054100,19.46326500,28,1730,1118,5,8395,47
4,Elbasan,233,211,41.11456500,20.08415200,22,746,485,0,3766,28
5,Fier,223,206,40.72902000,19.56091000,17,831,585,0,4385,23
6,Gjirokastër,56,55,40.07869700,20.13633000,1,228,167,0,2762,5
7,Korçe,241,215,40.61812600,20.77752800,26,699,439,0,2800,19
8,Kukës,136,128,42.07545200,20.42317600,8,476,328,0,2739,12
9,Lezhë,260,255,41.78537300,19.64099400,5,706,430,0,3783,16
10,Shkodër,397,384,42.06776800,19.51425000,12,1013,574,1,5734,42
11,Tiranë,2704,2632,41.33278100,19.81696400,66,7093,4199,6,46589,190
12,Vlorë,184,178,40.46778700,19.48373700,4,472,280,2,4003,8
