id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,8,8,40.71000700,19.94577900,0,15788,15604,0,44932,176
2,Dibër,3,3,41.59991200,20.26165100,0,4799,4739,0,42626,57
3,Durrës,8,8,41.33054100,19.46326500,0,24143,23769,0,64083,366
4,Elbasan,5,5,41.11456500,20.08415200,0,18421,18091,0,52327,325
5,Fier,15,15,40.72902000,19.56091000,0,33094,32725,0,51501,354
6,Gjirokastër,6,6,40.07869700,20.13633000,0,12754,12646,0,43152,102
7,Korçe,0,0,40.61812600,20.77752800,0,13268,13108,0,50551,160
8,Kukës,0,0,42.07545200,20.42317600,0,5395,5358,0,45056,37
9,Lezhë,0,0,41.78537300,19.64099400,0,12869,12744,0,47850,125
10,Shkodër,5,5,42.06776800,19.51425000,0,19191,19009,0,52120,177
11,Tiranë,179,177,41.33278100,19.81696400,2,146710,145043,0,1445990,1488
12,Vlorë,10,10,40.46778700,19.48373700,0,25123,24888,0,51459,225
