id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,5,5,40.71000700,19.94577900,0,6702,6597,0,20141,100
2,Dibër,0,0,41.59991200,20.26165100,0,2513,2465,0,18348,48
3,Durrës,22,21,41.33054100,19.46326500,1,10276,10020,0,36244,234
4,Elbasan,18,17,41.11456500,20.08415200,1,8753,8483,0,27596,252
5,Fier,12,12,40.72902000,19.56091000,0,11566,11312,0,26649,242
6,Gjirokastër,1,1,40.07869700,20.13633000,0,4885,4820,0,19513,64
7,Korçe,7,7,40.61812600,20.77752800,0,6782,6657,0,24103,118
8,Kukës,21,21,42.07545200,20.42317600,0,2894,2839,0,20246,34
9,Lezhë,14,13,41.78537300,19.64099400,1,6199,6094,0,23660,91
10,Shkodër,14,14,42.06776800,19.51425000,0,7507,7346,0,26917,147
11,Tiranë,93,92,41.33278100,19.81696400,1,55578,54488,0,601748,997
12,Vlorë,25,24,40.46778700,19.48373700,1,9142,8988,0,24441,129
