id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,271,263,40.71000700,19.94577900,8,10132,9714,0,28102,147
2,Dibër,53,53,41.59991200,20.26165100,0,3434,3326,0,25891,55
3,Durrës,330,317,41.33054100,19.46326500,11,15441,14801,2,47144,310
4,Elbasan,281,272,41.11456500,20.08415200,7,12573,11995,2,35456,297
5,Fier,631,609,40.72902000,19.56091000,19,19475,18528,3,34559,316
6,Gjirokastër,447,443,40.07869700,20.13633000,4,7412,6881,0,26770,84
7,Korçe,122,117,40.61812600,20.77752800,5,9080,8812,0,33671,146
8,Kukës,60,53,42.07545200,20.42317600,7,4237,4141,0,28351,36
9,Lezhë,124,113,41.78537300,19.64099400,11,9071,8830,0,31160,117
10,Shkodër,357,347,42.06776800,19.51425000,9,13190,12664,1,35253,169
11,Tiranë,2459,2423,41.33278100,19.81696400,32,86530,82778,4,1075300,1293
12,Vlorë,231,228,40.46778700,19.48373700,3,14649,14230,0,31605,188
