id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,3,3,40.71000700,19.94577900,0,6697,6594,0,18991,100
2,Dibër,1,1,41.59991200,20.26165100,0,2513,2464,0,17198,48
3,Durrës,5,5,41.33054100,19.46326500,0,10251,10012,0,35094,234
4,Elbasan,5,5,41.11456500,20.08415200,0,8727,8470,0,26446,252
5,Fier,1,1,40.72902000,19.56091000,0,11548,11305,0,25499,242
6,Gjirokastër,0,0,40.07869700,20.13633000,0,4882,4818,0,18363,64
7,Korçe,0,0,40.61812600,20.77752800,0,6764,6646,0,22953,118
8,Kukës,0,0,42.07545200,20.42317600,0,2872,2838,0,19096,34
9,Lezhë,4,4,41.78537300,19.64099400,0,6185,6090,0,22510,91
10,Shkodër,12,12,42.06776800,19.51425000,0,7491,7332,0,25767,147
11,Tiranë,24,23,41.33278100,19.81696400,1,55467,54446,0,547200,997
12,Vlorë,1,1,40.46778700,19.48373700,0,9117,8987,0,23291,129
