id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,44,41,40.71000700,19.94577900,3,93,48,0,1238,1
2,Dibër,33,32,41.59991200,20.26165100,1,64,29,0,496,2
3,Durrës,348,327,41.33054100,19.46326500,15,916,540,6,4820,28
4,Elbasan,45,41,41.11456500,20.08415200,4,145,93,0,1359,7
5,Fier,90,78,40.72902000,19.56091000,12,276,176,0,2678,10
6,Gjirokastër,29,27,40.07869700,20.13633000,1,64,35,1,1258,0
7,Korçe,85,84,40.61812600,20.77752800,1,175,85,0,1037,5
8,Kukës,94,93,42.07545200,20.42317600,1,221,122,0,1308,5
9,Lezhë,80,71,41.78537300,19.64099400,7,262,177,2,1909,5
10,Shkodër,231,229,42.06776800,19.51425000,1,583,321,1,3226,31
11,Tiranë,1558,1496,41.33278100,19.81696400,52,3133,1484,10,19193,91
12,Vlorë,98,94,40.46778700,19.48373700,4,219,117,0,2153,4
