id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,501,489,40.71000700,19.94577900,12,960,446,0,4374,13
2,Dibër,141,132,41.59991200,20.26165100,8,365,211,1,3232,13
3,Durrës,1182,1163,41.33054100,19.46326500,17,2713,1464,2,11545,67
4,Elbasan,762,713,41.11456500,20.08415200,47,1665,843,2,5691,60
5,Fier,1169,1140,40.72902000,19.56091000,28,2139,930,1,6230,40
6,Gjirokastër,439,430,40.07869700,20.13633000,9,744,297,0,4234,8
7,Korçe,844,799,40.61812600,20.77752800,44,1753,863,1,4555,46
8,Kukës,356,342,42.07545200,20.42317600,14,765,391,0,4494,18
9,Lezhë,635,628,41.78537300,19.64099400,7,1271,606,0,5464,30
10,Shkodër,812,784,42.06776800,19.51425000,27,1629,768,1,7846,49
11,Tiranë,7158,6983,41.33278100,19.81696400,170,14024,6586,5,92799,280
12,Vlorë,686,670,40.46778700,19.48373700,16,1098,399,0,5588,13
