id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,168,159,40.71000700,19.94577900,9,442,269,0,3134,5
2,Dibër,82,77,41.59991200,20.26165100,5,233,140,0,2055,11
3,Durrës,593,577,41.33054100,19.46326500,13,1841,1198,3,8853,50
4,Elbasan,246,216,41.11456500,20.08415200,29,851,574,1,4023,31
5,Fier,306,282,40.72902000,19.56091000,22,987,658,2,4634,23
6,Gjirokastër,66,61,40.07869700,20.13633000,5,253,181,0,2960,6
7,Korçe,325,300,40.61812600,20.77752800,24,838,490,1,3025,23
8,Kukës,159,148,42.07545200,20.42317600,11,505,333,0,2964,13
9,Lezhë,290,285,41.78537300,19.64099400,5,760,452,0,4079,18
10,Shkodër,426,416,42.06776800,19.51425000,9,1085,613,1,6054,46
11,Tiranë,2890,2797,41.33278100,19.81696400,87,7646,4557,6,51614,199
12,Vlorë,208,202,40.46778700,19.48373700,5,514,297,1,4210,9
