id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,117,110,40.71000700,19.94577900,5,273,154,2,2297,2
2,Dibër,76,64,41.59991200,20.26165100,12,160,76,0,1392,8
3,Durrës,564,546,41.33054100,19.46326500,15,1571,961,3,7520,46
4,Elbasan,299,281,41.11456500,20.08415200,18,613,291,0,3209,23
5,Fier,236,225,40.72902000,19.56091000,8,672,418,3,3992,18
6,Gjirokastër,76,74,40.07869700,20.13633000,2,186,106,0,2442,4
7,Korçe,245,227,40.61812600,20.77752800,18,573,311,0,2444,17
8,Kukës,146,138,42.07545200,20.42317600,8,431,275,0,2360,10
9,Lezhë,300,284,41.78537300,19.64099400,14,635,320,2,3304,15
10,Shkodër,376,359,42.06776800,19.51425000,15,912,496,2,5113,40
11,Tiranë,2550,2492,41.33278100,19.81696400,54,6095,3371,4,38394,174
12,Vlorë,191,187,40.46778700,19.48373700,4,414,216,0,3673,7
