id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,191,182,40.71000700,19.94577900,9,481,285,0,3314,5
2,Dibër,84,79,41.59991200,20.26165100,5,243,148,0,2227,11
3,Durrës,653,633,41.33054100,19.46326500,15,1908,1204,5,9145,51
4,Elbasan,279,253,41.11456500,20.08415200,25,902,590,1,4191,33
5,Fier,383,356,40.72902000,19.56091000,22,1094,687,5,4870,24
6,Gjirokastër,77,71,40.07869700,20.13633000,5,271,188,1,3152,6
7,Korçe,397,373,40.61812600,20.77752800,24,940,518,0,3205,25
8,Kukës,165,151,42.07545200,20.42317600,14,516,338,0,3144,13
9,Lezhë,338,332,41.78537300,19.64099400,5,816,458,1,4239,20
10,Shkodër,452,442,42.06776800,19.51425000,9,1129,630,1,6214,47
11,Tiranë,3281,3178,41.33278100,19.81696400,93,8210,4722,10,54867,207
12,Vlorë,233,227,40.46778700,19.48373700,5,545,303,1,4402,9
