id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,24,23,40.71000700,19.94577900,1,41,16,0,814,1
2,Dibër,17,16,41.59991200,20.26165100,1,27,10,0,261,0
3,Durrës,215,203,41.33054100,19.46326500,10,584,356,2,3502,13
4,Elbasan,33,31,41.11456500,20.08415200,1,66,31,1,917,2
5,Fier,41,31,40.72902000,19.56091000,10,141,95,0,1976,5
6,Gjirokastër,17,16,40.07869700,20.13633000,1,23,6,0,982,0
7,Korçe,32,32,40.61812600,20.77752800,0,70,38,0,588,0
8,Kukës,32,30,42.07545200,20.42317600,2,88,55,0,742,1
9,Lezhë,64,60,41.78537300,19.64099400,4,143,78,0,1315,1
10,Shkodër,173,162,42.06776800,19.51425000,10,435,250,1,2541,12
11,Tiranë,509,474,41.33278100,19.81696400,29,1421,866,6,11835,46
12,Vlorë,116,111,40.46778700,19.48373700,4,149,31,1,1565,2
