id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,41,33,40.71000700,19.94577900,8,6147,6018,0,13309,88
2,Dibër,338,335,41.59991200,20.26165100,3,2463,2078,0,11464,47
3,Durrës,1226,1194,41.33054100,19.46326500,30,9934,8497,2,28632,211
4,Elbasan,246,225,41.11456500,20.08415200,19,8306,7824,2,18948,236
5,Fier,2560,2539,40.72902000,19.56091000,20,11038,8248,1,19472,230
6,Gjirokastër,1224,1212,40.07869700,20.13633000,11,4575,3298,1,13149,53
7,Korçe,729,717,40.61812600,20.77752800,11,6098,5263,1,16257,106
8,Kukës,345,345,42.07545200,20.42317600,0,2765,2387,0,13584,33
9,Lezhë,103,89,41.78537300,19.64099400,13,5950,5759,1,16560,88
10,Shkodër,1030,1015,42.06776800,19.51425000,14,6963,5812,1,20479,121
11,Tiranë,20738,20643,41.33278100,19.81696400,87,54207,32511,8,383878,958
12,Vlorë,721,698,40.46778700,19.48373700,22,8746,7905,1,17581,120
