id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,218,208,40.71000700,19.94577900,9,10037,9677,1,27852,142
2,Dibër,46,46,41.59991200,20.26165100,0,3414,3313,0,25641,55
3,Durrës,318,296,41.33054100,19.46326500,19,15342,14718,3,46894,306
4,Elbasan,242,233,41.11456500,20.08415200,7,12504,11966,2,35206,296
5,Fier,653,629,40.72902000,19.56091000,20,19262,18296,4,34309,313
6,Gjirokastër,553,547,40.07869700,20.13633000,6,7317,6682,0,26520,82
7,Korçe,99,94,40.61812600,20.77752800,5,9007,8762,0,33421,146
8,Kukës,51,38,42.07545200,20.42317600,13,4216,4129,0,28101,36
9,Lezhë,127,116,41.78537300,19.64099400,11,9042,8798,0,30910,117
10,Shkodër,372,362,42.06776800,19.51425000,9,13157,12616,1,35003,169
11,Tiranë,2526,2483,41.33278100,19.81696400,37,85950,82138,6,1065660,1286
12,Vlorë,201,195,40.46778700,19.48373700,5,14539,14152,1,31355,186
