id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,266,258,40.71000700,19.94577900,7,8351,7975,1,24602,110
2,Dibër,134,133,41.59991200,20.26165100,1,3180,2994,0,22941,52
3,Durrës,885,862,41.33054100,19.46326500,20,13631,12473,3,43694,273
4,Elbasan,377,358,41.11456500,20.08415200,16,11009,10353,3,31956,279
5,Fier,700,681,40.72902000,19.56091000,14,15706,14740,5,31059,266
6,Gjirokastër,226,221,40.07869700,20.13633000,5,5977,5680,0,23370,71
7,Korçe,152,145,40.61812600,20.77752800,5,7987,7712,2,30171,123
8,Kukës,168,160,42.07545200,20.42317600,7,3825,3623,1,24856,34
9,Lezhë,259,247,41.78537300,19.64099400,11,8240,7873,1,27660,108
10,Shkodër,604,593,42.06776800,19.51425000,11,12210,11445,0,31757,161
11,Tiranë,3343,3296,41.33278100,19.81696400,42,71458,66996,5,911397,1119
12,Vlorë,434,424,40.46778700,19.48373700,9,12594,12003,1,28101,157
