id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,39,39,40.71000700,19.94577900,0,15742,15527,0,44322,176
2,Dibër,21,21,41.59991200,20.26165100,0,4758,4680,0,42016,57
3,Durrës,125,125,41.33054100,19.46326500,0,24069,23578,0,63453,366
4,Elbasan,99,96,41.11456500,20.08415200,3,18391,17967,0,51717,325
5,Fier,77,77,40.72902000,19.56091000,0,32935,32504,0,50891,354
6,Gjirokastër,56,56,40.07869700,20.13633000,0,12656,12499,0,42580,101
7,Korçe,45,45,40.61812600,20.77752800,0,13223,13019,0,49951,159
8,Kukës,7,7,42.07545200,20.42317600,0,5387,5343,0,44446,37
9,Lezhë,20,20,41.78537300,19.64099400,0,12815,12670,0,47240,125
10,Shkodër,140,140,42.06776800,19.51425000,0,19115,18798,0,51510,177
11,Tiranë,552,545,41.33278100,19.81696400,7,146007,143971,0,1432527,1484
12,Vlorë,61,61,40.46778700,19.48373700,0,24947,24661,0,50849,225
