id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,43,42,40.71000700,19.94577900,1,92,48,0,1192,1
2,Dibër,32,31,41.59991200,20.26165100,1,62,28,0,468,2
3,Durrës,302,280,41.33054100,19.46326500,16,859,532,6,4710,25
4,Elbasan,55,52,41.11456500,20.08415200,3,142,80,0,1331,7
5,Fier,103,93,40.72902000,19.56091000,10,271,159,0,2636,9
6,Gjirokastër,26,23,40.07869700,20.13633000,1,58,32,2,1228,0
7,Korçe,82,80,40.61812600,20.77752800,1,171,85,1,997,4
8,Kukës,80,80,42.07545200,20.42317600,0,204,119,0,1272,5
9,Lezhë,86,77,41.78537300,19.64099400,7,259,168,2,1867,5
10,Shkodër,230,228,42.06776800,19.51425000,1,578,317,1,3170,31
11,Tiranë,1451,1397,41.33278100,19.81696400,45,2980,1440,9,18580,89
12,Vlorë,94,91,40.46778700,19.48373700,3,213,115,0,2107,4
