id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,261,251,40.71000700,19.94577900,9,8882,8492,1,25902,129
2,Dibër,74,69,41.59991200,20.26165100,5,3271,3145,0,23691,52
3,Durrës,505,490,41.33054100,19.46326500,14,14313,13523,1,44944,285
4,Elbasan,348,334,41.11456500,20.08415200,13,11670,11033,1,33256,289
5,Fier,790,771,40.72902000,19.56091000,18,17272,16199,1,32359,283
6,Gjirokastër,328,317,40.07869700,20.13633000,11,6433,6027,0,24570,78
7,Korçe,198,189,40.61812600,20.77752800,8,8418,8087,1,31471,133
8,Kukës,116,106,42.07545200,20.42317600,9,4061,3910,1,26151,35
9,Lezhë,181,166,41.78537300,19.64099400,14,8578,8282,1,28960,115
10,Shkodër,500,485,42.06776800,19.51425000,13,12646,11981,2,33057,165
11,Tiranë,4044,4008,41.33278100,19.81696400,32,77828,72589,4,981910,1195
12,Vlorë,418,407,40.46778700,19.48373700,10,13421,12822,1,29401,181
