id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,14,14,40.71000700,19.94577900,0,13174,12989,0,37312,171
2,Dibër,0,0,41.59991200,20.26165100,0,4124,4067,0,35041,57
3,Durrës,12,10,41.33054100,19.46326500,2,19706,19337,0,56364,357
4,Elbasan,21,21,41.11456500,20.08415200,0,16340,15997,0,44686,322
5,Fier,45,42,40.72902000,19.56091000,3,25549,25158,0,43679,346
6,Gjirokastër,29,29,40.07869700,20.13633000,0,10794,10669,0,35850,96
7,Korçe,15,15,40.61812600,20.77752800,0,11181,11011,0,42891,155
8,Kukës,6,6,42.07545200,20.42317600,0,4991,4949,0,37461,36
9,Lezhë,6,6,41.78537300,19.64099400,0,11073,10945,0,40230,122
10,Shkodër,6,6,42.06776800,19.51425000,0,16656,16475,0,44470,175
11,Tiranë,251,242,41.33278100,19.81696400,7,120437,118751,2,1322642,1435
12,Vlorë,56,56,40.46778700,19.48373700,0,20083,19807,0,43829,220
