id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,82,80,40.71000700,19.94577900,1,180,96,1,1830,2
2,Dibër,52,46,41.59991200,20.26165100,6,107,50,0,928,5
3,Durrës,530,505,41.33054100,19.46326500,21,1308,738,4,6314,40
4,Elbasan,158,148,41.11456500,20.08415200,10,332,158,0,2237,16
5,Fier,144,134,40.72902000,19.56091000,10,463,305,0,3360,14
6,Gjirokastër,38,35,40.07869700,20.13633000,3,116,74,0,1907,4
7,Korçe,178,164,40.61812600,20.77752800,14,368,178,0,1803,12
8,Kukës,131,125,42.07545200,20.42317600,6,348,211,0,1902,6
9,Lezhë,199,190,41.78537300,19.64099400,8,452,243,1,2646,10
10,Shkodër,284,271,42.06776800,19.51425000,11,732,412,2,4267,36
11,Tiranë,2093,2018,41.33278100,19.81696400,66,4802,2576,9,28179,133
12,Vlorë,126,119,40.46778700,19.48373700,7,305,173,0,3065,6
