id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,33,32,40.71000700,19.94577900,1,82,48,0,1154,1
2,Dibër,31,30,41.59991200,20.26165100,1,61,28,0,460,2
3,Durrës,302,277,41.33054100,19.46326500,16,849,525,9,4657,22
4,Elbasan,54,50,41.11456500,20.08415200,3,136,76,1,1317,6
5,Fier,103,93,40.72902000,19.56091000,10,268,156,0,2610,9
6,Gjirokastër,25,22,40.07869700,20.13633000,1,57,32,2,1219,0
7,Korçe,82,80,40.61812600,20.77752800,1,166,80,1,977,4
8,Kukës,74,74,42.07545200,20.42317600,0,194,116,0,1254,4
9,Lezhë,87,80,41.78537300,19.64099400,5,255,163,2,1848,5
10,Shkodër,231,228,42.06776800,19.51425000,2,573,312,1,3144,30
11,Tiranë,1404,1347,41.33278100,19.81696400,50,2896,1403,7,18269,89
12,Vlorë,94,91,40.46778700,19.48373700,3,213,115,0,2088,4
