id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,78,70,40.71000700,19.94577900,6,219,139,2,2067,2
2,Dibër,42,35,41.59991200,20.26165100,7,124,75,0,1142,7
3,Durrës,489,472,41.33054100,19.46326500,13,1438,905,4,6955,44
4,Elbasan,210,190,41.11456500,20.08415200,20,478,248,0,2809,20
5,Fier,160,151,40.72902000,19.56091000,7,564,388,2,3744,16
6,Gjirokastër,40,39,40.07869700,20.13633000,1,140,96,0,2272,4
7,Korçe,176,157,40.61812600,20.77752800,18,470,281,1,2210,13
8,Kukës,130,121,42.07545200,20.42317600,8,394,256,1,2200,8
9,Lezhë,237,223,41.78537300,19.64099400,14,545,296,0,3066,12
10,Shkodër,338,320,42.06776800,19.51425000,16,831,455,2,4727,38
11,Tiranë,2206,2144,41.33278100,19.81696400,53,5467,3104,9,33123,157
12,Vlorë,145,141,40.46778700,19.48373700,4,351,200,0,3441,6
