id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,58,58,40.71000700,19.94577900,0,15691,15457,0,44152,176
2,Dibër,43,43,41.59991200,20.26165100,0,4747,4647,0,41846,57
3,Durrës,156,155,41.33054100,19.46326500,1,24013,23491,0,63283,366
4,Elbasan,181,178,41.11456500,20.08415200,3,18351,17845,0,51547,325
5,Fier,231,230,40.72902000,19.56091000,1,32796,32212,0,50721,353
6,Gjirokastër,58,58,40.07869700,20.13633000,0,12596,12437,0,42410,101
7,Korçe,153,153,40.61812600,20.77752800,0,13182,12870,0,49781,159
8,Kukës,7,7,42.07545200,20.42317600,0,5381,5337,0,44276,37
9,Lezhë,33,33,41.78537300,19.64099400,0,12790,12632,0,47070,125
10,Shkodër,194,194,42.06776800,19.51425000,0,19069,18698,0,51340,177
11,Tiranë,977,967,41.33278100,19.81696400,10,145611,143152,0,1428975,1482
12,Vlorë,124,121,40.46778700,19.48373700,3,24848,24499,0,50679,225
