id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,13229,13058,0,39082,171
2,Dibër,0,0,41.59991200,20.26165100,0,4130,4073,0,36776,57
3,Durrës,7,7,41.33054100,19.46326500,0,19774,19410,0,58184,357
4,Elbasan,3,3,41.11456500,20.08415200,0,16407,16082,0,46476,322
5,Fier,47,45,40.72902000,19.56091000,2,25938,25544,0,45637,347
6,Gjirokastër,5,5,40.07869700,20.13633000,0,10895,10793,0,37330,97
7,Korçe,7,7,40.61812600,20.77752800,0,11260,11098,0,44711,155
8,Kukës,0,0,42.07545200,20.42317600,0,5003,4967,0,39216,36
9,Lezhë,3,3,41.78537300,19.64099400,0,11099,10974,0,42000,122
10,Shkodër,2,2,42.06776800,19.51425000,0,16719,16542,0,46240,175
11,Tiranë,191,189,41.33278100,19.81696400,2,121715,120088,0,1351895,1436
12,Vlorë,18,18,40.46778700,19.48373700,0,20347,20107,0,45609,222
