id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,16,16,40.71000700,19.94577900,0,15768,15576,0,44477,176
2,Dibër,20,20,41.59991200,20.26165100,0,4777,4700,0,42171,57
3,Durrës,38,38,41.33054100,19.46326500,0,24101,23697,0,63608,366
4,Elbasan,70,70,41.11456500,20.08415200,0,18406,18011,0,51872,325
5,Fier,69,69,40.72902000,19.56091000,0,33017,32594,0,51046,354
6,Gjirokastër,26,26,40.07869700,20.13633000,0,12694,12567,0,42735,101
7,Korçe,20,20,40.61812600,20.77752800,0,13251,13071,0,50106,160
8,Kukës,0,0,42.07545200,20.42317600,0,5388,5351,0,44601,37
9,Lezhë,25,25,41.78537300,19.64099400,0,12839,12689,0,47395,125
10,Shkodër,87,87,42.06776800,19.51425000,0,19158,18894,0,51665,177
11,Tiranë,378,372,41.33278100,19.81696400,6,146294,144430,0,1436375,1486
12,Vlorë,58,58,40.46778700,19.48373700,0,25022,24739,0,51004,225
