id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,256,251,40.71000700,19.94577900,5,10402,9995,0,28902,151
2,Dibër,101,99,41.59991200,20.26165100,2,3513,3356,0,26691,56
3,Durrës,578,565,41.33054100,19.46326500,11,15816,14918,2,47944,320
4,Elbasan,405,398,41.11456500,20.08415200,5,12882,12173,2,36256,304
5,Fier,660,647,40.72902000,19.56091000,11,20027,19042,2,35359,325
6,Gjirokastër,193,193,40.07869700,20.13633000,0,7626,7345,0,27570,88
7,Korçe,153,147,40.61812600,20.77752800,5,9234,8932,1,34471,149
8,Kukës,71,66,42.07545200,20.42317600,5,4309,4202,0,29151,36
9,Lezhë,196,189,41.78537300,19.64099400,7,9223,8910,0,31960,117
10,Shkodër,430,423,42.06776800,19.51425000,6,13388,12789,1,36053,169
11,Tiranë,2944,2916,41.33278100,19.81696400,26,89366,85110,2,1117577,1312
12,Vlorë,396,391,40.46778700,19.48373700,5,15099,14510,0,35405,193
