id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,6697,6597,0,20091,100
2,Dibër,0,0,41.59991200,20.26165100,0,2513,2465,0,18298,48
3,Durrës,21,20,41.33054100,19.46326500,1,10274,10019,0,36194,234
4,Elbasan,21,20,41.11456500,20.08415200,1,8750,8477,0,27546,252
5,Fier,11,11,40.72902000,19.56091000,0,11565,11312,0,26599,242
6,Gjirokastër,1,1,40.07869700,20.13633000,0,4885,4820,0,19463,64
7,Korçe,4,4,40.61812600,20.77752800,0,6779,6657,0,24053,118
8,Kukës,16,16,42.07545200,20.42317600,0,2889,2839,0,20196,34
9,Lezhë,13,12,41.78537300,19.64099400,1,6198,6094,0,23610,91
10,Shkodër,14,14,42.06776800,19.51425000,0,7507,7346,0,26867,147
11,Tiranë,91,90,41.33278100,19.81696400,1,55571,54483,0,598950,997
12,Vlorë,18,17,40.46778700,19.48373700,1,9135,8988,0,24391,129
