id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,3,3,40.71000700,19.94577900,0,15781,15602,0,44782,176
2,Dibër,5,5,41.59991200,20.26165100,0,4796,4734,0,42476,57
3,Durrës,5,5,41.33054100,19.46326500,0,24130,23759,0,63913,366
4,Elbasan,33,32,41.11456500,20.08415200,1,18421,18063,0,52177,325
5,Fier,24,24,40.72902000,19.56091000,0,33072,32694,0,51351,354
6,Gjirokastër,16,16,40.07869700,20.13633000,0,12740,12623,0,43050,101
7,Korçe,2,2,40.61812600,20.77752800,0,13265,13103,0,50401,160
8,Kukës,2,2,42.07545200,20.42317600,0,5395,5356,0,44906,37
9,Lezhë,11,11,41.78537300,19.64099400,0,12867,12731,0,47700,125
10,Shkodër,11,11,42.06776800,19.51425000,0,19186,18998,0,51970,177
11,Tiranë,207,204,41.33278100,19.81696400,3,146598,144904,0,1442822,1487
12,Vlorë,20,20,40.46778700,19.48373700,0,25106,24861,0,51309,225
