id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,118,116,40.71000700,19.94577900,2,342,222,0,2639,2
2,Dibër,94,86,41.59991200,20.26165100,7,213,109,1,1707,10
3,Durrës,571,539,41.33054100,19.46326500,24,1704,1087,8,8230,46
4,Elbasan,254,237,41.11456500,20.08415200,17,724,443,0,3676,27
5,Fier,224,207,40.72902000,19.56091000,16,797,551,1,4310,22
6,Gjirokastër,60,59,40.07869700,20.13633000,1,223,159,0,2702,4
7,Korçe,242,218,40.61812600,20.77752800,24,684,423,0,2725,19
8,Kukës,142,137,42.07545200,20.42317600,5,467,314,0,2664,11
9,Lezhë,265,260,41.78537300,19.64099400,5,696,415,0,3675,16
10,Shkodër,392,379,42.06776800,19.51425000,12,991,558,1,5614,41
11,Tiranë,2638,2568,41.33278100,19.81696400,59,6812,3988,11,44862,186
12,Vlorë,189,183,40.46778700,19.48373700,4,464,267,2,3943,8
