id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,78,75,40.71000700,19.94577900,1,155,76,2,1686,1
2,Dibër,51,45,41.59991200,20.26165100,6,101,46,0,808,4
3,Durrës,510,488,41.33054100,19.46326500,19,1229,682,3,5950,37
4,Elbasan,155,145,41.11456500,20.08415200,10,292,126,0,2010,11
5,Fier,180,174,40.72902000,19.56091000,6,438,246,0,3168,12
6,Gjirokastër,49,47,40.07869700,20.13633000,2,105,53,0,1703,3
7,Korçe,191,180,40.61812600,20.77752800,11,341,138,0,1581,12
8,Kukës,140,134,42.07545200,20.42317600,6,327,181,0,1740,6
9,Lezhë,176,169,41.78537300,19.64099400,7,396,211,0,2418,9
10,Shkodër,304,299,42.06776800,19.51425000,4,705,366,1,4006,35
11,Tiranë,1994,1918,41.33278100,19.81696400,69,4376,2259,7,25584,123
12,Vlorë,142,136,40.46778700,19.48373700,6,294,146,0,2821,6
