id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,406,400,40.71000700,19.94577900,5,9371,8829,1,26552,136
2,Dibër,79,77,41.59991200,20.26165100,2,3332,3200,0,24341,53
3,Durrës,455,435,41.33054100,19.46326500,16,14715,13967,4,45594,293
4,Elbasan,340,327,41.11456500,20.08415200,11,12012,11381,2,33906,291
5,Fier,822,800,40.72902000,19.56091000,18,18024,16909,4,33009,293
6,Gjirokastër,479,471,40.07869700,20.13633000,7,6778,6221,1,25220,78
7,Korçe,240,230,40.61812600,20.77752800,8,8676,8298,2,32121,138
8,Kukës,70,54,42.07545200,20.42317600,13,4123,4018,3,26801,35
9,Lezhë,171,160,41.78537300,19.64099400,9,8750,8464,2,29610,115
10,Shkodër,450,439,42.06776800,19.51425000,10,12832,12215,1,33703,167
11,Tiranë,4413,4375,41.33278100,19.81696400,31,81345,75710,7,1015017,1222
12,Vlorë,392,383,40.46778700,19.48373700,7,13898,13323,2,30055,183
