id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,512,500,40.71000700,19.94577900,12,993,468,0,4409,13
2,Dibër,137,128,41.59991200,20.26165100,8,367,217,1,3267,13
3,Durrës,1167,1148,41.33054100,19.46326500,19,2721,1486,0,11625,68
4,Elbasan,771,717,41.11456500,20.08415200,51,1717,885,3,5741,61
5,Fier,1162,1130,40.72902000,19.56091000,29,2159,957,3,6270,40
6,Gjirokastër,399,389,40.07869700,20.13633000,10,765,357,0,4271,9
7,Korçe,906,869,40.61812600,20.77752800,36,1830,877,1,4600,47
8,Kukës,361,348,42.07545200,20.42317600,13,780,401,0,4539,18
9,Lezhë,673,666,41.78537300,19.64099400,7,1328,625,0,5514,30
10,Shkodër,810,780,42.06776800,19.51425000,30,1661,800,0,7902,51
11,Tiranë,7406,7225,41.33278100,19.81696400,174,14408,6719,7,94855,283
12,Vlorë,671,655,40.46778700,19.48373700,16,1108,424,0,5633,13
