id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,102,102,40.71000700,19.94577900,0,15670,15392,0,44032,176
2,Dibër,51,51,41.59991200,20.26165100,0,4731,4623,0,41726,57
3,Durrës,204,204,41.33054100,19.46326500,0,23972,23402,0,63163,366
4,Elbasan,222,219,41.11456500,20.08415200,3,18320,17773,0,51427,325
5,Fier,318,317,40.72902000,19.56091000,1,32695,32024,0,50601,353
6,Gjirokastër,122,122,40.07869700,20.13633000,0,12563,12340,0,42290,101
7,Korçe,192,192,40.61812600,20.77752800,0,13151,12800,0,49661,159
8,Kukës,11,11,42.07545200,20.42317600,0,5377,5329,0,44156,37
9,Lezhë,65,65,41.78537300,19.64099400,0,12780,12590,0,46950,125
10,Shkodër,228,228,42.06776800,19.51425000,0,19040,18635,0,51220,177
11,Tiranë,1401,1392,41.33278100,19.81696400,9,145372,142489,0,1427485,1482
12,Vlorë,160,157,40.46778700,19.48373700,3,24798,24413,0,50559,225
