id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,90,85,40.71000700,19.94577900,5,6632,6449,0,16141,93
2,Dibër,88,86,41.59991200,20.26165100,2,2505,2369,0,14148,48
3,Durrës,231,223,41.33054100,19.46326500,7,10222,9760,1,31994,231
4,Elbasan,134,123,41.11456500,20.08415200,7,8670,8288,4,22036,248
5,Fier,327,318,40.72902000,19.56091000,9,11508,10943,0,22542,238
6,Gjirokastër,246,243,40.07869700,20.13633000,3,4842,4536,0,15753,60
7,Korçe,250,245,40.61812600,20.77752800,5,6647,6283,0,19153,114
8,Kukës,68,68,42.07545200,20.42317600,0,2857,2755,0,16256,34
9,Lezhë,101,99,41.78537300,19.64099400,1,6139,5948,1,19634,90
10,Shkodër,341,335,42.06776800,19.51425000,6,7376,6894,0,23551,141
11,Tiranë,11038,10998,41.33278100,19.81696400,36,55216,43189,4,432772,989
12,Vlorë,215,207,40.46778700,19.48373700,8,9052,8712,0,20541,125
