id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,284,278,40.71000700,19.94577900,5,10449,10014,1,29002,151
2,Dibër,106,104,41.59991200,20.26165100,2,3527,3365,0,26791,56
3,Durrës,645,632,41.33054100,19.46326500,11,15897,14932,2,48044,320
4,Elbasan,441,434,41.11456500,20.08415200,5,12940,12194,2,36366,305
5,Fier,711,697,40.72902000,19.56091000,11,20118,19082,3,35459,325
6,Gjirokastër,225,225,40.07869700,20.13633000,0,7672,7359,0,27670,88
7,Korçe,143,137,40.61812600,20.77752800,5,9243,8951,1,34571,149
8,Kukës,71,66,42.07545200,20.42317600,5,4317,4210,0,29251,36
9,Lezhë,213,206,41.78537300,19.64099400,7,9260,8930,0,32060,117
10,Shkodër,451,444,42.06776800,19.51425000,6,13421,12801,1,36153,169
11,Tiranë,3326,3285,41.33278100,19.81696400,35,90006,85366,6,1124130,1314
12,Vlorë,433,428,40.46778700,19.48373700,5,15171,14544,0,35505,194
