id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,13229,13058,0,39072,171
2,Dibër,0,0,41.59991200,20.26165100,0,4130,4073,0,36766,57
3,Durrës,6,5,41.33054100,19.46326500,1,19773,19410,0,58174,357
4,Elbasan,4,4,41.11456500,20.08415200,0,16407,16081,0,46466,322
5,Fier,52,50,40.72902000,19.56091000,2,25930,25531,0,45627,347
6,Gjirokastër,4,4,40.07869700,20.13633000,0,10893,10792,0,37320,97
7,Korçe,6,6,40.61812600,20.77752800,0,11259,11098,0,44701,155
8,Kukës,0,0,42.07545200,20.42317600,0,5003,4967,0,39206,36
9,Lezhë,1,1,41.78537300,19.64099400,0,11097,10974,0,41990,122
10,Shkodër,2,2,42.06776800,19.51425000,0,16719,16542,0,46230,175
11,Tiranë,179,177,41.33278100,19.81696400,2,121684,120069,0,1351466,1436
12,Vlorë,18,18,40.46778700,19.48373700,0,20342,20102,0,45599,222
