id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,145,136,40.71000700,19.94577900,9,413,263,0,3044,5
2,Dibër,82,77,41.59991200,20.26165100,5,227,134,0,1977,11
3,Durrës,593,577,41.33054100,19.46326500,13,1822,1182,3,8725,47
4,Elbasan,231,202,41.11456500,20.08415200,29,819,559,0,3946,29
5,Fier,264,240,40.72902000,19.56091000,22,937,650,2,4535,23
6,Gjirokastër,61,56,40.07869700,20.13633000,5,246,179,0,2882,6
7,Korçe,291,266,40.61812600,20.77752800,24,797,484,1,2950,22
8,Kukës,153,142,42.07545200,20.42317600,11,499,333,0,2889,13
9,Lezhë,273,270,41.78537300,19.64099400,3,739,449,0,3999,17
10,Shkodër,414,403,42.06776800,19.51425000,10,1062,602,1,5974,46
11,Tiranë,2855,2755,41.33278100,19.81696400,94,7511,4459,6,50155,197
12,Vlorë,199,193,40.46778700,19.48373700,5,498,291,1,4123,8
