id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,92,92,40.71000700,19.94577900,0,15660,15392,0,43982,176
2,Dibër,53,53,41.59991200,20.26165100,0,4729,4619,0,41676,57
3,Durrës,196,196,41.33054100,19.46326500,0,23945,23383,0,63113,366
4,Elbasan,213,210,41.11456500,20.08415200,3,18309,17771,0,51377,325
5,Fier,318,317,40.72902000,19.56091000,1,32663,31992,0,50551,353
6,Gjirokastër,119,119,40.07869700,20.13633000,0,12549,12329,0,42240,101
7,Korçe,186,186,40.61812600,20.77752800,0,13134,12789,0,49611,159
8,Kukës,12,12,42.07545200,20.42317600,0,5377,5328,0,44106,37
9,Lezhë,61,61,41.78537300,19.64099400,0,12771,12585,0,46900,125
10,Shkodër,229,229,42.06776800,19.51425000,0,19033,18627,0,51170,177
11,Tiranë,1459,1451,41.33278100,19.81696400,8,145267,142326,0,1426966,1482
12,Vlorë,152,149,40.46778700,19.48373700,3,24769,24392,0,50509,225
