id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,462,451,40.71000700,19.94577900,9,8085,7517,2,24002,106
2,Dibër,217,217,41.59991200,20.26165100,0,3083,2815,0,22341,51
3,Durrës,1088,1063,41.33054100,19.46326500,22,13165,11822,3,43094,255
4,Elbasan,603,579,41.11456500,20.08415200,21,10650,9773,3,31356,274
5,Fier,1139,1122,40.72902000,19.56091000,14,15006,13606,3,30459,261
6,Gjirokastër,220,212,40.07869700,20.13633000,7,5774,5486,1,22740,68
7,Korçe,329,317,40.61812600,20.77752800,10,7805,7355,2,29571,121
8,Kukës,284,273,42.07545200,20.42317600,10,3667,3349,1,24256,34
9,Lezhë,487,471,41.78537300,19.64099400,14,8032,7443,2,27060,102
10,Shkodër,1083,1066,42.06776800,19.51425000,15,11861,10619,2,31157,159
11,Tiranë,5041,4973,41.33278100,19.81696400,59,68638,62537,9,871718,1060
12,Vlorë,681,668,40.46778700,19.48373700,11,12127,11297,2,27501,149
