id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,663,626,40.71000700,19.94577900,34,5035,4290,3,10099,82
2,Dibër,362,350,41.59991200,20.26165100,11,2332,1925,1,8676,45
3,Durrës,1653,1568,41.33054100,19.46326500,79,9075,7244,6,23970,178
4,Elbasan,800,714,41.11456500,20.08415200,84,7186,6196,2,14750,190
5,Fier,2565,2496,40.72902000,19.56091000,64,9743,7006,5,15362,172
6,Gjirokastër,1198,1183,40.07869700,20.13633000,14,3778,2538,1,10395,42
7,Korçe,922,910,40.61812600,20.77752800,12,4915,3902,0,12485,91
8,Kukës,334,331,42.07545200,20.42317600,2,2386,2019,1,10694,33
9,Lezhë,771,754,41.78537300,19.64099400,17,5135,4281,0,12854,83
10,Shkodër,1372,1337,42.06776800,19.51425000,34,5729,4263,1,16799,94
11,Tiranë,23411,23215,41.33278100,19.81696400,185,49009,24777,11,331474,821
12,Vlorë,1757,1685,40.46778700,19.48373700,68,7755,5911,4,13807,87
