id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,375,365,40.71000700,19.94577900,9,12972,12431,1,35202,166
2,Dibër,21,21,41.59991200,20.26165100,0,4106,4028,0,32991,57
3,Durrës,187,177,41.33054100,19.46326500,8,19541,19002,2,54244,352
4,Elbasan,479,470,41.11456500,20.08415200,7,16113,15315,2,42566,319
5,Fier,769,758,40.72902000,19.56091000,10,25028,23916,1,41659,343
6,Gjirokastër,173,173,40.07869700,20.13633000,0,10564,10296,0,33870,95
7,Korçe,152,150,40.61812600,20.77752800,0,11083,10778,2,40771,153
8,Kukës,160,160,42.07545200,20.42317600,0,4891,4695,0,35451,36
9,Lezhë,321,321,41.78537300,19.64099400,0,10955,10512,0,38260,122
10,Shkodër,184,172,42.06776800,19.51425000,10,16542,16186,2,42353,172
11,Tiranë,1639,1616,41.33278100,19.81696400,19,118867,115821,4,1287810,1407
12,Vlorë,468,457,40.46778700,19.48373700,10,19502,18818,1,41705,216
