id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,886,862,40.71000700,19.94577900,21,2184,1255,3,5669,43
2,Dibër,430,421,41.59991200,20.26165100,9,939,491,0,4527,18
3,Durrës,1288,1273,41.33054100,19.46326500,13,4353,2944,2,14505,121
4,Elbasan,925,891,41.11456500,20.08415200,32,3196,2166,2,7541,105
5,Fier,1597,1575,40.72902000,19.56091000,19,4451,2760,3,7732,94
6,Gjirokastër,506,496,40.07869700,20.13633000,10,1835,1304,0,5603,25
7,Korçe,964,944,40.61812600,20.77752800,18,3148,2117,2,6220,67
8,Kukës,488,480,42.07545200,20.42317600,7,1307,793,1,6159,26
9,Lezhë,878,864,41.78537300,19.64099400,14,2498,1577,0,7314,43
10,Shkodër,1313,1298,42.06776800,19.51425000,15,3214,1833,0,9940,68
11,Tiranë,13089,12933,41.33278100,19.81696400,151,24907,11349,5,160589,469
12,Vlorë,1062,1043,40.46778700,19.48373700,16,2795,1687,3,7253,46
