id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,245,240,40.71000700,19.94577900,5,10191,9799,0,28302,147
2,Dibër,63,63,41.59991200,20.26165100,0,3452,3334,0,26091,55
3,Durrës,340,327,41.33054100,19.46326500,11,15510,14856,2,47344,314
4,Elbasan,294,285,41.11456500,20.08415200,7,12631,12038,2,35656,299
5,Fier,566,544,40.72902000,19.56091000,19,19607,18721,3,34759,320
6,Gjirokastër,289,289,40.07869700,20.13633000,0,7450,7076,0,26970,85
7,Korçe,120,115,40.61812600,20.77752800,5,9103,8836,0,33871,147
8,Kukës,65,58,42.07545200,20.42317600,7,4255,4154,0,28551,36
9,Lezhë,134,123,41.78537300,19.64099400,11,9107,8856,0,31360,117
10,Shkodër,359,351,42.06776800,19.51425000,8,13223,12695,0,35453,169
11,Tiranë,2475,2441,41.33278100,19.81696400,29,87020,83247,5,1084360,1298
12,Vlorë,215,212,40.46778700,19.48373700,3,14724,14318,0,31805,191
