id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,53,44,40.71000700,19.94577900,9,6506,6363,0,14589,90
2,Dibër,322,320,41.59991200,20.26165100,2,2496,2127,0,12584,47
3,Durrës,1088,1071,41.33054100,19.46326500,14,10104,8796,3,30118,220
4,Elbasan,200,189,41.11456500,20.08415200,9,8569,8128,2,20388,241
5,Fier,2216,2198,40.72902000,19.56091000,17,11318,8869,1,20902,233
6,Gjirokastër,913,903,40.07869700,20.13633000,10,4704,3733,0,14219,58
7,Korçe,673,662,40.61812600,20.77752800,11,6355,5575,0,17577,107
8,Kukës,287,285,42.07545200,20.42317600,2,2814,2493,0,14764,34
9,Lezhë,18,11,41.78537300,19.64099400,6,6040,5934,1,17960,88
10,Shkodër,915,901,42.06776800,19.51425000,13,7188,6144,1,21719,129
11,Tiranë,18531,18473,41.33278100,19.81696400,52,54602,35098,6,399649,973
12,Vlorë,452,438,40.46778700,19.48373700,14,8898,8324,0,18941,122
