id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,39,38,40.71000700,19.94577900,1,6665,6528,0,17041,98
2,Dibër,3,3,41.59991200,20.26165100,0,2508,2457,0,15048,48
3,Durrës,9,7,41.33054100,19.46326500,2,10235,9992,0,32894,234
4,Elbasan,42,42,41.11456500,20.08415200,0,8709,8416,0,22936,251
5,Fier,21,16,40.72902000,19.56091000,3,11537,11274,2,23442,242
6,Gjirokastër,34,33,40.07869700,20.13633000,1,4872,4775,0,16653,63
7,Korçe,102,101,40.61812600,20.77752800,1,6746,6527,0,20053,117
8,Kukës,13,13,42.07545200,20.42317600,0,2869,2822,0,17156,34
9,Lezhë,32,32,41.78537300,19.64099400,0,6165,6042,0,20534,91
10,Shkodër,88,86,42.06776800,19.51425000,2,7444,7209,0,24451,147
11,Tiranë,439,412,41.33278100,19.81696400,25,55367,53933,2,472683,995
12,Vlorë,53,49,40.46778700,19.48373700,3,9112,8932,1,21441,127
