id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,41,40,40.71000700,19.94577900,1,6669,6530,0,17141,98
2,Dibër,4,4,41.59991200,20.26165100,0,2509,2457,0,15148,48
3,Durrës,11,9,41.33054100,19.46326500,2,10237,9992,0,33094,234
4,Elbasan,39,39,41.11456500,20.08415200,0,8709,8419,0,24186,251
5,Fier,20,15,40.72902000,19.56091000,3,11538,11276,2,23542,242
6,Gjirokastër,31,30,40.07869700,20.13633000,1,4872,4778,0,16253,63
7,Korçe,95,94,40.61812600,20.77752800,1,6747,6535,0,21153,117
8,Kukës,11,11,42.07545200,20.42317600,0,2869,2824,0,17256,34
9,Lezhë,31,31,41.78537300,19.64099400,0,6165,6043,0,20660,91
10,Shkodër,86,84,42.06776800,19.51425000,2,7445,7212,0,24151,147
11,Tiranë,401,374,41.33278100,19.81696400,23,55372,53976,4,472898,995
12,Vlorë,49,45,40.46778700,19.48373700,3,9112,8936,1,21541,127
