id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,40,35,40.71000700,19.94577900,5,60,19,0,930,1
2,Dibër,24,24,41.59991200,20.26165100,0,40,15,0,334,1
3,Durrës,209,202,41.33054100,19.46326500,7,651,426,0,3761,16
4,Elbasan,46,44,41.11456500,20.08415200,2,86,35,0,1028,5
5,Fier,42,36,40.72902000,19.56091000,6,161,114,0,2109,5
6,Gjirokastër,21,19,40.07869700,20.13633000,1,33,12,1,1059,0
7,Korçe,50,47,40.61812600,20.77752800,2,98,48,1,691,0
8,Kukës,55,52,42.07545200,20.42317600,2,118,62,1,866,1
9,Lezhë,86,80,41.78537300,19.64099400,5,186,99,1,1501,1
10,Shkodër,199,190,42.06776800,19.51425000,8,481,265,1,2743,17
11,Tiranë,734,680,41.33278100,19.81696400,49,1757,969,5,13374,54
12,Vlorë,104,99,40.46778700,19.48373700,4,180,73,1,1724,3
